timestep,agent_id,community_id,centrality,d0,d1,d2,d3,d4,d5
0,170,0,0.75,0.550981,0.547407,0.561474,0.59242,0.183807,0.445334
0,171,0,0.5,0.172968,0.505409,0.499305,0.65683,0.678145,0.530416
0,172,0,0.75,0.424946,0.572774,0.420812,0.499791,0.64792,0.416334
0,173,0,0.75,0.620852,0.60161,0.356781,0.646084,0.604785,0.515289
0,174,0,0.75,0.385651,0.371119,0.419351,0.581389,0.356656,0.565627
0,175,0,0.75,0.313737,0.46939,0.516447,0.86677,0.293403,0.720802
0,176,0,0.75,0.522476,0.561676,0.517752,0.566709,0.476947,0.718108
0,177,0,0.75,0.431529,0.669835,0.403345,0.490962,0.339206,0.568254
0,178,0,0.75,0.716769,0.488397,0.470467,0.332807,0.465606,0.261081
0,179,0,0.75,0.363068,0.534018,0.697852,0.921382,0.412012,0.715295
0,180,0,0.75,0.536563,0.477313,0.564889,0.509287,0.516559,0.43875
0,181,0,0.75,0.290284,0.268456,0.597987,0.458495,0.410587,0.501276
0,182,0,0.625,0.61924,0.527055,0.401592,0.683944,0.736878,0.574183
0,183,0,0.625,0.64605,0.686294,0.669515,0.592115,0.589752,0.577949
0,184,0,0.875,0.335399,0.605108,0.296628,0.38081,0.695535,0.626033
0,185,0,0.75,0.72311,0.459249,0.327163,0.463934,0.515305,0.511848
0,186,0,0.75,0.670052,0.445809,0.552805,0.351706,0.567548,0.500466
0,187,0,0.875,0.387528,0.464626,0.472374,0.459477,0.765701,0.485233
0,188,0,0.875,0.463416,0.185382,0.365869,0.460539,0.397122,0.707256
0,189,0,0.625,0.475259,0.693267,0.509256,0.505584,0.486681,0.500569
0,190,0,0.75,0.757819,0.152058,0.199768,0.418524,0.502179,0.603516
0,191,0,0.75,0.570963,0.442363,0.652857,0.654529,0.527609,0.644399
0,192,0,0.875,0.540897,0.415778,0.604673,0.516592,0.500201,0.720943
0,193,0,0.625,0.132369,0.287347,0.321939,0.445511,0.461809,0.273901
0,194,0,0.75,0.352226,0.370874,0.868614,0.770261,0.438238,0.445463
0,195,0,0.875,0.327619,0.21378,0.482468,0.350322,0.487272,0.259969
0,196,0,0.75,0.385704,0.522294,0.554931,0.562621,0.301927,0.628203
0,197,0,0.875,0.379968,0.594929,0.498404,0.293542,0.45257,0.554805
0,198,0,0.75,0.591945,0.478852,0.729767,0.651127,0.461502,0.612518
0,199,0,0.75,0.790069,0.794073,0.3158,0.36102,0.722738,0.341258
100,0,0,0.625,0.545708,0.344002,0.612568,0.641085,0.207345,0.304673
100,1,0,0.75,0.519176,0.452564,0.49748,0.372043,0.63191,0.616669
100,2,0,0.5,0.509905,0.669086,0.570126,0.371106,0.555313,0.356168
100,3,0,0.75,0.631768,0.492511,0.472271,0.397861,0.683381,0.476821
100,4,0,0.75,0.425904,0.507603,0.543537,0.538986,0.609392,0.523233
100,5,0,0.875,0.821247,0.439038,0.423164,0.377934,0.592397,0.669346
100,6,0,0.75,0.437058,0.498249,0.480029,0.560936,0.604202,0.525382
100,7,0,0.75,0.400174,0.534824,0.517503,0.532803,0.630714,0.533539
100,8,0,0.75,0.601837,0.510137,0.543368,0.594693,0.281427,0.452049
100,9,0,0.625,0.429444,0.404168,0.458729,0.724241,0.370125,0.645242
100,10,0,0.625,0.24757,0.449767,0.524413,0.587933,0.606684,0.619002
100,11,0,0.75,0.447691,0.430647,0.628696,0.471304,0.308647,0.330007
100,12,0,0.75,0.362082,0.574574,0.521364,0.603573,0.435912,0.523781
100,13,0,0.875,0.593839,0.453598,0.568516,0.400711,0.445542,0.442739
100,14,0,0.625,0.404527,0.567347,0.411779,0.488471,0.629833,0.457266
100,15,0,0.625,0.599808,0.485227,0.436505,0.488042,0.2469,0.282933
100,16,0,0.625,0.301595,0.350413,0.559966,0.364178,0.443276,0.694884
100,17,0,0.875,0.44656,0.610627,0.359957,0.469184,0.357497,0.449145
100,18,0,0.75,0.626046,0.240902,0.565164,0.53566,0.410878,0.283091
100,19,0,0.875,0.510819,0.420576,0.534901,0.503278,0.740267,0.464097
100,20,0,0.75,0.346475,0.526891,0.533,0.703878,0.625267,0.553531
100,21,0,0.75,0.719495,0.321686,0.404037,0.361014,0.441529,0.293497
100,22,0,0.625,0.595273,0.466667,0.279379,0.347663,0.547027,0.625719
100,23,0,0.875,0.79951,0.937079,0.562161,0.351569,0.180193,0.540157
100,24,0,0.75,0.378059,0.437696,0.408185,0.478881,0.659897,0.523557
100,25,0,0.75,0.476205,0.344652,0.248798,0.427054,0.491933,0.765189
100,26,0,0.75,0.519541,0.647411,0.425106,0.322258,0.355232,0.391216
100,27,0,0.75,0.81927,0.376792,0.625773,0.364561,0.639736,0.557743
100,28,0,0.75,0.476504,0.493886,0.401782,0.566911,0.431752,0.316159
100,29,0,0.75,0.308309,0.525888,0.736864,0.523999,0.482204,0.542874
100,30,0,0.625,0.6959,0.532907,0.438361,0.665943,0.564313,0.730363
100,31,0,0.75,0.527485,0.31633,0.294776,0.747639,0.75855,0.473072
100,32,0,0.75,0.442522,0.719217,0.333943,0.365791,0.596499,0.440809
100,33,0,0.75,0.499232,0.475484,0.550636,0.711122,0.513588,0.596591
